model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time,noise_type,cmi_max_iou,fa_min_iou
yolo11x,000000000724,2,2/255,0.25,0.45,odpv,0.0,0.0,0.0,186.37459701299667,poisson,0.6511631011962891,0.0
yolo11x,000000000724,2,2/255,0.25,0.45,odpv,0.0,0.0,0.0,189.67532747983932,poisson_gaussian,1.0,0.0
yolo11x,000000000724,2,2/255,0.25,0.45,odpv,0.0,0.0,0.0,180.7889939546585,salt_and_pepper,0.3477334976196289,0.0
yolo11x,000000000724,2,2/255,0.25,0.45,odpv,0.0,0.0,0.0,179.53335011005402,uniform,0.47418212890625,0.0
yolo11x,000000000724,2,2/255,0.25,0.45,rcp,0.0,0.0,0.0,945.7094749808311,laplace,0.9003757253460576,0.09187396495630204
yolo11x,000000000724,2,2/255,0.25,0.45,rcp,0.0,0.0,0.0,925.7675005197525,normal,0.0,0.9440967958668347
yolo11x,000000000724,2,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1339.5000519156456,poisson,0.01555838980375569,0.09373190825028212
yolo11x,000000000724,2,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1816.249498128891,poisson_gaussian,0.8992212136852404,0.8992212136852404
yolo11x,000000000724,2,2/255,0.25,0.45,rcp,0.0,0.0,0.0,911.0001164674759,salt_and_pepper,0.0,0.9438922134465231
yolo11x,000000000724,2,2/255,0.25,0.45,rcp,0.0,0.0,0.0,701.9322142004967,uniform,0.015356844604463689,0.09377690362846912
yolo11x,000000000724,3,1/255,0.25,0.45,odpv,0.6350173354148865,0.6350173354148865,0.0,386.515625834465,laplace,1.0,0.0
yolo11x,000000000724,3,1/255,0.25,0.45,odpv,0.8639324903488159,0.8639324903488159,0.8639324903488159,177.476293861866,normal,0.9863243103027344,0.06035041809082031
yolo11x,000000000724,3,1/255,0.25,0.45,odpv,0.8317105174064636,0.8317105174064636,0.8317105174064636,183.76563435792923,poisson,1.0,0.0
yolo11x,000000000724,3,1/255,0.25,0.45,odpv,0.7761839032173157,0.7761839032173157,0.7761839032173157,188.0307120680809,poisson_gaussian,1.0,0.0
yolo11x,000000000724,3,1/255,0.25,0.45,odpv,0.8665581345558167,0.8665581345558167,0.8665581345558167,178.30460184812546,salt_and_pepper,0.9863243103027344,0.06711959838867188
yolo11x,000000000724,3,1/255,0.25,0.45,odpv,0.867354691028595,0.867354691028595,0.867354691028595,171.34420150518417,uniform,0.9863243103027344,0.0
yolo11x,000000000724,3,1/255,0.25,0.45,rcp,0.9411249410560784,0.9411249410560784,0.9411249410560784,946.4155425429344,laplace,0.0,0.9411249410560784
yolo11x,000000000724,3,1/255,0.25,0.45,rcp,0.9456201892330398,0.9456201892330398,0.9456201892330398,916.6025196313858,normal,0.0,0.9456201892330398
yolo11x,000000000724,3,1/255,0.25,0.45,rcp,0.9418941738433692,0.9418941738433692,0.9418941738433692,1246.093190729618,poisson,0.0,0.9418941738433692
yolo11x,000000000724,3,1/255,0.25,0.45,rcp,0.9411656232082471,0.9411656232082471,0.9411656232082471,1669.7552907466888,poisson_gaussian,0.0,0.9411656232082471
yolo11x,000000000724,3,1/255,0.25,0.45,rcp,0.948065209471274,0.948065209471274,0.948065209471274,912.4346789121628,salt_and_pepper,0.0,0.948065209471274
yolo11x,000000000724,3,1/255,0.25,0.45,rcp,0.9458560413796457,0.9458560413796457,0.9458560413796457,710.4697983264923,uniform,0.0,0.9458560413796457
yolo11x,000000000724,3,2/255,0.25,0.45,odpv,0.7383802533149719,0.7383802533149719,0.7383802533149719,375.8249288201332,laplace,1.0,0.0
yolo11x,000000000724,3,2/255,0.25,0.45,odpv,0.867354691028595,0.867354691028595,0.867354691028595,181.07287061214447,normal,1.0,0.0
yolo11x,000000000724,3,2/255,0.25,0.45,odpv,0.8284912705421448,0.8284912705421448,0.8284912705421448,186.37459701299667,poisson,1.0,0.0
yolo11x,000000000724,3,2/255,0.25,0.45,odpv,0.7761839032173157,0.7761839032173157,0.7761839032173157,189.67532747983932,poisson_gaussian,1.0,0.0
yolo11x,000000000724,3,2/255,0.25,0.45,odpv,0.867354691028595,0.867354691028595,0.867354691028595,180.7889939546585,salt_and_pepper,0.9863243103027344,0.0
yolo11x,000000000724,3,2/255,0.25,0.45,odpv,0.8284912705421448,0.8284912705421448,0.8284912705421448,179.53335011005402,uniform,1.0,0.0
yolo11x,000000000724,3,2/255,0.25,0.45,rcp,0.9325826014599635,0.9325826014599635,0.9325826014599635,945.7094749808311,laplace,0.9003757253460576,0.09187396495630204
yolo11x,000000000724,3,2/255,0.25,0.45,rcp,0.9440967958668347,0.9440967958668347,0.9440967958668347,925.7675005197525,normal,0.0,0.9440967958668347
yolo11x,000000000724,3,2/255,0.25,0.45,rcp,0.939377090559695,0.939377090559695,0.939377090559695,1339.5000519156456,poisson,0.01555838980375569,0.09373190825028212
