model,image,gt_index,epsilon,method,iou,iou_0.5,iou_0.7,time
yolo11m,000000014380,1,2/255,rcp,0.9395682321468376,0.9395682321468376,0.9395682321468376,1156.5841073989868
yolo11m,000000014380,1,2/255,square_attack,0.7182261943817139,0.7182261943817139,0.7182261943817139,42.136481523513794
yolo11m,000000065485,0,1/255,odpv,0.9619593620300293,0.9619593620300293,0.9619593620300293,21.964127779006958
yolo11m,000000065485,0,1/255,pgd,0.0,0.0,0.0,0.9776126146316528
yolo11m,000000065485,0,1/255,rcp,0.993041070996068,0.993041070996068,0.993041070996068,1026.3854104280472
yolo11m,000000065485,0,1/255,square_attack,0.9846341013908386,0.9846341013908386,0.9846341013908386,42.8128799200058
yolo11m,000000065485,0,2/255,odpv,0.9655258059501648,0.9655258059501648,0.9655258059501648,21.146223306655884
yolo11m,000000065485,0,2/255,pgd,0.0,0.0,0.0,0.8200640678405762
yolo11m,000000065485,0,2/255,rcp,0.9912531759461434,0.9912531759461434,0.9912531759461434,1026.7496293783188
yolo11m,000000065485,0,2/255,square_attack,0.9743466973304749,0.9743466973304749,0.9743466973304749,42.68978750705719
yolo11m,000000065485,1,1/255,odpv,0.0,0.0,0.0,0.0010380744934082031
yolo11m,000000065485,1,1/255,pgd,0.0,0.0,0.0,0.9776126146316528
yolo11m,000000065485,1,1/255,rcp,0.0,0.0,0.0,1026.3854104280472
yolo11m,000000065485,1,1/255,square_attack,0.0,0.0,0.0,42.8128799200058
yolo11m,000000065485,1,2/255,odpv,0.0,0.0,0.0,0.001131296157836914
yolo11m,000000065485,1,2/255,pgd,0.0,0.0,0.0,0.8200640678405762
yolo11m,000000065485,1,2/255,rcp,0.0,0.0,0.0,1026.7496293783188
yolo11m,000000065485,1,2/255,square_attack,0.0,0.0,0.0,42.68978750705719
yolo11m,000000076417,0,1/255,odpv,0.9474793672561646,0.9474793672561646,0.9474793672561646,21.587432146072388
yolo11m,000000076417,0,1/255,pgd,0.0,0.0,0.0,1.5531625270843505
yolo11m,000000076417,0,1/255,rcp,0.9707929483418168,0.9707929483418168,0.9707929483418168,509.9925305843353
yolo11m,000000076417,0,1/255,square_attack,0.9612807035446167,0.9612807035446167,0.9612807035446167,68.24326763153076
yolo11m,000000076417,0,2/255,odpv,0.9474784135818481,0.9474784135818481,0.9474784135818481,21.588901042938232
yolo11m,000000076417,0,2/255,pgd,0.0,0.0,0.0,1.0682395458221436
yolo11m,000000076417,0,2/255,rcp,0.9685136232795508,0.9685136232795508,0.9685136232795508,508.15484952926636
