model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7,pgd_bounds_lower_0.5,pgd_bounds_lower_0.7
yolo11x,17178,1,2/255,0.45,0.25,rcp,rcp,0.9130895275151786,0.9130895275151786,0.9130895275151786,636.3954649925232,0.9130895275151786,0.9130895275151786,0.9130895275151786,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,1,2/255,0.45,0.25,odpv,pgd,0.7734619975090027,0.7734619975090027,0.7734619975090027,85.89297795295715,0.0,0.0,0.0,0.7734619975090027,0.7734619975090027,0.7734619975090027,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,1,2/255,0.45,0.25,odpv,square_attack,0.7734619975090027,0.7734619975090027,0.7734619975090027,85.89297795295715,0.8853654861450195,0.8853654861450195,0.8853654861450195,0.11190348863601685,0.11190348863601685,0.11190348863601685,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,1,2/255,0.45,0.25,odpv,rcp,0.7734619975090027,0.7734619975090027,0.7734619975090027,85.89297795295715,0.9130895275151786,0.9130895275151786,0.9130895275151786,0.1396275300061759,0.1396275300061759,0.1396275300061759,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,2,1/255,0.45,0.25,rcp,pgd,0.5138624042412941,0.0,0.5138624042412941,653.0712244510651,0.0,0.0,0.0,0.5138624042412941,0.0,0.5138624042412941,False,False,True,False,False,False,False,True,True,False
yolo11x,17178,2,1/255,0.45,0.25,rcp,square_attack,0.5138624042412941,0.0,0.5138624042412941,653.0712244510651,0.512353777885437,0.0,0.512353777885437,0.0015086263558571344,0.0,0.0015086263558571344,True,False,False,False,False,False,False,True,True,False
yolo11x,17178,2,1/255,0.45,0.25,rcp,rcp,0.5138624042412941,0.0,0.5138624042412941,653.0712244510651,0.5138624042412941,0.0,0.5138624042412941,0.0,0.0,0.0,True,False,False,False,False,False,False,True,True,False
yolo11x,17178,2,1/255,0.45,0.25,odpv,pgd,0.0,0.0,0.0,0.2050249576568603,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,False
yolo11x,17178,2,1/255,0.45,0.25,odpv,square_attack,0.0,0.0,0.0,0.2050249576568603,0.512353777885437,0.0,0.512353777885437,0.512353777885437,0.0,0.512353777885437,False,False,False,False,True,False,False,True,True,False
yolo11x,17178,2,1/255,0.45,0.25,odpv,rcp,0.0,0.0,0.0,0.2050249576568603,0.5138624042412941,0.0,0.5138624042412941,0.5138624042412941,0.0,0.5138624042412941,False,False,False,False,True,False,False,True,True,False
