model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7,pgd_bounds_lower_0.5,pgd_bounds_lower_0.7
yolo11x,17178,1,2/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,119.265052318573,0.9152358745406862,0.9152358745406862,0.9152358745406862,0.9152358745406862,0.9152358745406862,0.9152358745406862,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,2,1/255,0.25,0.45,rcp,pgd,0.5237519272445742,0.0,0.5237519272445742,942.7651678562164,0.0,0.0,0.493733137845993,0.5237519272445742,0.0,0.030018789398581214,False,False,True,False,False,False,False,True,True,False
yolo11x,17178,2,1/255,0.25,0.45,rcp,square_attack,0.5237519272445742,0.0,0.5237519272445742,942.7651678562164,0.5135862827301025,0.0,0.5135862827301025,0.010165644514471661,0.0,0.010165644514471661,True,False,False,False,False,False,False,True,True,False
yolo11x,17178,2,1/255,0.25,0.45,rcp,rcp,0.5237519272445742,0.0,0.5237519272445742,942.7651678562164,0.5237519272445742,0.0,0.5237519272445742,0.0,0.0,0.0,True,False,False,False,False,False,False,True,True,False
yolo11x,17178,2,1/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,117.98053693771362,0.0,0.0,0.493733137845993,0.0,0.0,0.493733137845993,False,False,False,False,False,False,True,True,True,False
yolo11x,17178,2,1/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,117.98053693771362,0.5135862827301025,0.0,0.5135862827301025,0.5135862827301025,0.0,0.5135862827301025,False,False,False,False,True,False,False,True,True,False
yolo11x,17178,2,1/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,117.98053693771362,0.5237519272445742,0.0,0.5237519272445742,0.5237519272445742,0.0,0.5237519272445742,False,False,False,False,True,False,False,True,True,False
yolo11x,17178,2,2/255,0.25,0.45,rcp,pgd,0.5209439887599607,0.0,0.5209439887599607,902.0253249168396,0.0,0.0,0.0,0.5209439887599607,0.0,0.5209439887599607,False,False,True,False,False,False,False,True,True,False
yolo11x,17178,2,2/255,0.25,0.45,rcp,square_attack,0.5209439887599607,0.0,0.5209439887599607,902.0253249168396,0.5106052160263062,0.0,0.5106052160263062,0.010338772733654578,0.0,0.010338772733654578,True,False,False,False,False,False,False,True,True,False
yolo11x,17178,2,2/255,0.25,0.45,rcp,rcp,0.5209439887599607,0.0,0.5209439887599607,902.0253249168396,0.5209439887599607,0.0,0.5209439887599607,0.0,0.0,0.0,True,False,False,False,False,False,False,True,True,False
yolo11x,17178,2,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,119.265052318573,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,False
yolo11x,17178,2,2/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,119.265052318573,0.5106052160263062,0.0,0.5106052160263062,0.5106052160263062,0.0,0.5106052160263062,False,False,False,False,True,False,False,True,True,False
yolo11x,17178,2,2/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,119.265052318573,0.5209439887599607,0.0,0.5209439887599607,0.5209439887599607,0.0,0.5209439887599607,False,False,False,False,True,False,False,True,True,False
yolo11x,17178,3,1/255,0.25,0.45,rcp,pgd,0.779468074333098,0.779468074333098,0.779468074333098,942.7651678562164,0.0,0.0,0.0,0.779468074333098,0.779468074333098,0.779468074333098,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,3,1/255,0.25,0.45,rcp,square_attack,0.779468074333098,0.779468074333098,0.779468074333098,942.7651678562164,0.7593048214912415,0.7593048214912415,0.7593048214912415,0.020163252841856494,0.020163252841856494,0.020163252841856494,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,3,1/255,0.25,0.45,rcp,rcp,0.779468074333098,0.779468074333098,0.779468074333098,942.7651678562164,0.779468074333098,0.779468074333098,0.779468074333098,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,3,1/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,117.98053693771362,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,True
yolo11x,17178,3,1/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,117.98053693771362,0.7593048214912415,0.7593048214912415,0.7593048214912415,0.7593048214912415,0.7593048214912415,0.7593048214912415,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,3,1/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,117.98053693771362,0.779468074333098,0.779468074333098,0.779468074333098,0.779468074333098,0.779468074333098,0.779468074333098,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,3,2/255,0.25,0.45,rcp,pgd,0.7758253213698999,0.7758253213698999,0.7758253213698999,902.0253249168396,0.0,0.0,0.0,0.7758253213698999,0.7758253213698999,0.7758253213698999,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,3,2/255,0.25,0.45,rcp,square_attack,0.7758253213698999,0.7758253213698999,0.7758253213698999,902.0253249168396,0.0,0.0,0.0,0.7758253213698999,0.7758253213698999,0.7758253213698999,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,3,2/255,0.25,0.45,rcp,rcp,0.7758253213698999,0.7758253213698999,0.7758253213698999,902.0253249168396,0.7758253213698999,0.7758253213698999,0.7758253213698999,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,3,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,119.265052318573,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,True
yolo11x,17178,3,2/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,119.265052318573,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,True
yolo11x,17178,3,2/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,119.265052318573,0.7758253213698999,0.7758253213698999,0.7758253213698999,0.7758253213698999,0.7758253213698999,0.7758253213698999,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,4,1/255,0.25,0.45,rcp,pgd,0.9742476059664216,0.9742476059664216,0.9742476059664216,942.7651678562164,0.0,0.0,0.0,0.9742476059664216,0.9742476059664216,0.9742476059664216,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,4,1/255,0.25,0.45,rcp,square_attack,0.9742476059664216,0.9742476059664216,0.9742476059664216,942.7651678562164,0.9668453335762024,0.9668453335762024,0.9668453335762024,0.007402272390219178,0.007402272390219178,0.007402272390219178,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,4,1/255,0.25,0.45,rcp,rcp,0.9742476059664216,0.9742476059664216,0.9742476059664216,942.7651678562164,0.9742476059664216,0.9742476059664216,0.9742476059664216,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,4,1/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,117.98053693771362,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,True
yolo11x,17178,4,1/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,117.98053693771362,0.9668453335762024,0.9668453335762024,0.9668453335762024,0.9668453335762024,0.9668453335762024,0.9668453335762024,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,4,1/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,117.98053693771362,0.9742476059664216,0.9742476059664216,0.9742476059664216,0.9742476059664216,0.9742476059664216,0.9742476059664216,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,4,2/255,0.25,0.45,rcp,pgd,0.973800837420009,0.973800837420009,0.973800837420009,902.0253249168396,0.0,0.0,0.0,0.973800837420009,0.973800837420009,0.973800837420009,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,4,2/255,0.25,0.45,rcp,square_attack,0.973800837420009,0.973800837420009,0.973800837420009,902.0253249168396,0.9548670649528505,0.9548670649528505,0.9548670649528505,0.01893377246715855,0.01893377246715855,0.01893377246715855,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,4,2/255,0.25,0.45,rcp,rcp,0.973800837420009,0.973800837420009,0.973800837420009,902.0253249168396,0.973800837420009,0.973800837420009,0.973800837420009,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
