model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7,pgd_bounds_lower_0.5,pgd_bounds_lower_0.7
yolo11x,7088,2,1/255,0.25,0.45,median_nms,rcp,0.9446654915809632,0.9446654915809632,0.9446654915809632,25.229624271392822,0.943783701139324,0.943783701139324,0.943783701139324,0.0008817904416392741,0.0008817904416392741,0.0008817904416392741,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.25,0.45,rcp,pgd,0.9434110307970576,0.9434110307970576,0.9434110307970576,1230.3408640623093,0.0,0.0,0.0,0.9434110307970576,0.9434110307970576,0.9434110307970576,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.25,0.45,rcp,square_attack,0.9434110307970576,0.9434110307970576,0.9434110307970576,1230.3408640623093,0.9225260019302368,0.9225260019302368,0.9225260019302368,0.020885028866820754,0.020885028866820754,0.020885028866820754,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.25,0.45,rcp,rcp,0.9434110307970576,0.9434110307970576,0.9434110307970576,1230.3408640623093,0.9434110307970576,0.9434110307970576,0.9434110307970576,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.25,0.45,odpv,pgd,0.9294922351837158,0.9294922351837158,0.9294922351837158,186.2095463871956,0.0,0.0,0.0,0.9294922351837158,0.9294922351837158,0.9294922351837158,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.25,0.45,odpv,square_attack,0.9294922351837158,0.9294922351837158,0.9294922351837158,186.2095463871956,0.9225260019302368,0.9225260019302368,0.9225260019302368,0.006966233253479004,0.006966233253479004,0.006966233253479004,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.25,0.45,odpv,rcp,0.9294922351837158,0.9294922351837158,0.9294922351837158,186.2095463871956,0.9434110307970576,0.9434110307970576,0.9434110307970576,0.01391879561334175,0.01391879561334175,0.01391879561334175,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.25,0.45,median_nms,pgd,0.9413639307022096,0.9413639307022096,0.9413639307022096,24.001970887184143,0.0,0.0,0.0,0.9413639307022096,0.9413639307022096,0.9413639307022096,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.25,0.45,median_nms,square_attack,0.9413639307022096,0.9413639307022096,0.9413639307022096,24.001970887184143,0.9225260019302368,0.9225260019302368,0.9225260019302368,0.018837928771972767,0.018837928771972767,0.018837928771972767,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.25,0.45,median_nms,rcp,0.9413639307022096,0.9413639307022096,0.9413639307022096,24.001970887184143,0.9434110307970576,0.9434110307970576,0.9434110307970576,0.0020471000948479867,0.0020471000948479867,0.0020471000948479867,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,3,1/255,0.25,0.45,rcp,pgd,0.0,0.0,0.0,1221.7430054545405,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,1/255,0.25,0.45,rcp,square_attack,0.0,0.0,0.0,1221.7430054545405,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,1/255,0.25,0.45,rcp,rcp,0.0,0.0,0.0,1221.7430054545405,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,1/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,177.76101678609848,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,1/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,177.76101678609848,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
yolo11x,7088,3,1/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,177.76101678609848,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,False,False
