model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time
yolo11x,000000033759,1,2/255,0.25,0.45,square_attack,0.9590701460838318,0.9590701460838318,0.9590701460838318,93.21398043632507
yolo11x,000000033759,2,1/255,0.25,0.45,odpv,0.0,0.0,0.0,117.38590135574341
yolo11x,000000033759,2,1/255,0.25,0.45,pgd,0.541059136390686,0.541059136390686,0.0,658.9697301387787
yolo11x,000000033759,2,1/255,0.25,0.45,rcp,0.9395460818020708,0.9395460818020708,0.9395460818020708,973.4639200210571
yolo11x,000000033759,2,1/255,0.25,0.45,square_attack,0.9365196228027344,0.9365196228027344,0.9365196228027344,103.13446683883667
yolo11x,000000033759,2,2/255,0.25,0.45,odpv,0.0,0.0,0.0,116.42428078651429
yolo11x,000000033759,2,2/255,0.25,0.45,pgd,0.0,0.0,0.0,241.2568302154541
yolo11x,000000033759,2,2/255,0.25,0.45,rcp,0.9384667540692401,0.9384667540692401,0.9384667540692401,975.2564578056335
yolo11x,000000033759,2,2/255,0.25,0.45,square_attack,0.9300207495689392,0.9300207495689392,0.9300207495689392,93.21398043632507
yolo11x,000000033759,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,117.38590135574341
yolo11x,000000033759,3,1/255,0.25,0.45,pgd,0.0,0.0,0.0,658.9697301387787
yolo11x,000000033759,3,1/255,0.25,0.45,rcp,0.0,0.0,0.0,973.4639200210571
yolo11x,000000033759,3,1/255,0.25,0.45,square_attack,0.0,0.0,0.0,103.13446683883667
yolo11x,000000033759,3,2/255,0.25,0.45,odpv,0.0,0.0,0.0,116.42428078651429
yolo11x,000000033759,3,2/255,0.25,0.45,pgd,0.0,0.0,0.0,241.2568302154541
yolo11x,000000033759,3,2/255,0.25,0.45,rcp,0.0,0.0,0.0,975.2564578056335
yolo11x,000000033759,3,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,93.21398043632507
yolo11x,000000033759,4,1/255,0.25,0.45,odpv,0.0,0.0,0.0,117.38590135574341
yolo11x,000000033759,4,1/255,0.25,0.45,pgd,0.0,0.0,0.0,658.9697301387787
yolo11x,000000033759,4,1/255,0.25,0.45,rcp,0.0,0.0,0.0,973.4639200210571
yolo11x,000000033759,4,1/255,0.25,0.45,square_attack,0.0,0.0,0.0,103.13446683883667
yolo11x,000000033759,4,2/255,0.25,0.45,odpv,0.0,0.0,0.0,116.42428078651429
yolo11x,000000033759,4,2/255,0.25,0.45,pgd,0.0,0.0,0.0,241.2568302154541
yolo11x,000000033759,4,2/255,0.25,0.45,rcp,0.0,0.0,0.0,975.2564578056335
yolo11x,000000033759,4,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,93.21398043632507
yolo11x,000000038048,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,139.9904054403305
yolo11x,000000038048,0,1/255,0.25,0.45,pgd,0.0,0.0,0.0,614.4007523059845
yolo11x,000000038048,0,1/255,0.25,0.45,rcp,0.9511193215939225,0.9511193215939225,0.9511193215939225,753.2190967798233
yolo11x,000000038048,0,1/255,0.25,0.45,square_attack,0.9296957850456238,0.9296957850456238,0.9296957850456238,116.55330926179886
yolo11x,000000038048,0,2/255,0.25,0.45,odpv,0.0,0.0,0.0,139.9847931265831
yolo11x,000000038048,0,2/255,0.25,0.45,pgd,0.0,0.0,0.0,34.09640455245972
yolo11x,000000038048,0,2/255,0.25,0.45,rcp,0.950044138999075,0.950044138999075,0.950044138999075,759.8753562569618
yolo11x,000000038048,0,2/255,0.25,0.45,square_attack,0.8732174634933472,0.8732174634933472,0.8732174634933472,128.57706904411316
yolo11x,000000038048,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,139.9904054403305
yolo11x,000000038048,1,1/255,0.25,0.45,pgd,0.0,0.0,0.0,614.4007523059845
yolo11x,000000038048,1,1/255,0.25,0.45,rcp,0.7211847825429797,0.7211847825429797,0.7211847825429797,753.2190967798233
yolo11x,000000038048,1,1/255,0.25,0.45,square_attack,0.6323458552360535,0.6323458552360535,0.0,116.55330926179886
yolo11x,000000038048,1,2/255,0.25,0.45,odpv,0.0,0.0,0.0,139.9847931265831
yolo11x,000000038048,1,2/255,0.25,0.45,pgd,0.0,0.0,0.0,34.09640455245972
yolo11x,000000038048,1,2/255,0.25,0.45,rcp,0.7185254230042275,0.7185254230042275,0.7185254230042275,759.8753562569618
yolo11x,000000038048,1,2/255,0.25,0.45,square_attack,0.6045247316360474,0.6045247316360474,0.0,128.57706904411316
yolo11x,000000038048,2,1/255,0.25,0.45,odpv,0.0,0.0,0.0,139.9904054403305
yolo11x,000000038048,2,1/255,0.25,0.45,pgd,0.0,0.0,0.0,614.4007523059845
yolo11x,000000038048,2,1/255,0.25,0.45,rcp,0.7140493036154849,0.7140493036154849,0.7140493036154849,753.2190967798233
yolo11x,000000038048,2,1/255,0.25,0.45,square_attack,0.70323646068573,0.70323646068573,0.70323646068573,116.55330926179886
yolo11x,000000038048,2,2/255,0.25,0.45,odpv,0.0,0.0,0.0,139.9847931265831
yolo11x,000000038048,2,2/255,0.25,0.45,pgd,0.0,0.0,0.0,34.09640455245972
yolo11x,000000038048,2,2/255,0.25,0.45,rcp,0.7092477590111106,0.7092477590111106,0.7092477590111106,759.8753562569618
yolo11x,000000038048,2,2/255,0.25,0.45,square_attack,0.6789572834968567,0.6789572834968567,0.0,128.57706904411316
yolo11x,000000038048,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,139.9904054403305
yolo11x,000000038048,3,1/255,0.25,0.45,pgd,0.0,0.0,0.0,614.4007523059845
yolo11x,000000038048,3,1/255,0.25,0.45,rcp,0.0,0.0,0.0,753.2190967798233
yolo11x,000000038048,3,1/255,0.25,0.45,square_attack,0.0,0.0,0.0,116.55330926179886
yolo11x,000000038048,3,2/255,0.25,0.45,odpv,0.0,0.0,0.0,139.9847931265831
yolo11x,000000038048,3,2/255,0.25,0.45,pgd,0.0,0.0,0.0,34.09640455245972
yolo11x,000000038048,3,2/255,0.25,0.45,rcp,0.0,0.0,0.0,759.8753562569618
yolo11x,000000038048,3,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,128.57706904411316
yolo11x,000000043737,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,97.23962008953094
yolo11x,000000043737,0,1/255,0.25,0.45,pgd,0.6817691922187805,0.6817691922187805,0.0,675.5867578983307
yolo11x,000000043737,0,1/255,0.25,0.45,rcp,0.7880040144971125,0.7880040144971125,0.7880040144971125,844.5437196493149
yolo11x,000000043737,0,1/255,0.25,0.45,square_attack,0.7714565992355347,0.7714565992355347,0.7714565992355347,159.99420070648193
yolo11x,000000043737,0,2/255,0.25,0.45,odpv,0.0,0.0,0.0,97.10147047042847
yolo11x,000000043737,0,2/255,0.25,0.45,pgd,0.0,0.0,0.0,25.93466067314148
yolo11x,000000043737,0,2/255,0.25,0.45,rcp,0.7873620277090738,0.7873620277090738,0.7873620277090738,836.6422102451324
yolo11x,000000043737,0,2/255,0.25,0.45,square_attack,0.7585861086845398,0.7585861086845398,0.7585861086845398,127.11908455689748
yolo11x,000000043737,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,97.23962008953094
yolo11x,000000043737,1,1/255,0.25,0.45,pgd,0.0,0.0,0.0,675.5867578983307
yolo11x,000000043737,1,1/255,0.25,0.45,rcp,0.7791041798691225,0.7791041798691225,0.7791041798691225,844.5437196493149
yolo11x,000000043737,1,1/255,0.25,0.45,square_attack,0.751297116279602,0.751297116279602,0.751297116279602,159.99420070648193
yolo11x,000000043737,1,2/255,0.25,0.45,odpv,0.0,0.0,0.0,97.10147047042847
yolo11x,000000043737,1,2/255,0.25,0.45,pgd,0.0,0.0,0.0,25.93466067314148
yolo11x,000000043737,1,2/255,0.25,0.45,rcp,0.7737075886117951,0.7737075886117951,0.7737075886117951,836.6422102451324
yolo11x,000000043737,1,2/255,0.25,0.45,square_attack,0.34602755308151245,0.0,0.0,127.11908455689748
yolo11x,000000043737,2,1/255,0.25,0.45,odpv,0.0,0.0,0.0,97.23962008953094
yolo11x,000000043737,2,1/255,0.25,0.45,pgd,0.0,0.0,0.0,675.5867578983307
yolo11x,000000043737,2,1/255,0.25,0.45,rcp,0.8213884611886203,0.8213884611886203,0.8213884611886203,844.5437196493149
yolo11x,000000043737,2,1/255,0.25,0.45,square_attack,0.8026271462440491,0.8026271462440491,0.8026271462440491,159.99420070648193
yolo11x,000000043737,2,2/255,0.25,0.45,odpv,0.0,0.0,0.0,97.10147047042847
yolo11x,000000043737,2,2/255,0.25,0.45,pgd,0.0,0.0,0.0,25.93466067314148
yolo11x,000000043737,2,2/255,0.25,0.45,rcp,0.8182825753826335,0.8182825753826335,0.8182825753826335,836.6422102451324
yolo11x,000000043737,2,2/255,0.25,0.45,square_attack,0.7752647995948792,0.7752647995948792,0.7752647995948792,127.11908455689748
yolo11x,000000043737,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,97.23962008953094
yolo11x,000000043737,3,1/255,0.25,0.45,pgd,0.0,0.0,0.0,675.5867578983307
yolo11x,000000043737,3,1/255,0.25,0.45,rcp,0.7770570310680067,0.7770570310680067,0.7770570310680067,844.5437196493149
yolo11x,000000043737,3,1/255,0.25,0.45,square_attack,0.773146390914917,0.773146390914917,0.773146390914917,159.99420070648193
yolo11x,000000043737,3,2/255,0.25,0.45,odpv,0.0,0.0,0.0,97.10147047042847
yolo11x,000000043737,3,2/255,0.25,0.45,pgd,0.0,0.0,0.0,25.93466067314148
yolo11x,000000043737,3,2/255,0.25,0.45,rcp,0.7715205197809328,0.7715205197809328,0.7715205197809328,836.6422102451324
yolo11x,000000043737,3,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,127.11908455689748
yolo11x,000000043737,4,1/255,0.25,0.45,odpv,0.0,0.0,0.0,97.23962008953094
yolo11x,000000043737,4,1/255,0.25,0.45,pgd,0.0,0.0,0.0,675.5867578983307
yolo11x,000000043737,4,1/255,0.25,0.45,rcp,0.5666703400051118,0.5666703400051118,0.0,844.5437196493149
yolo11x,000000043737,4,1/255,0.25,0.45,square_attack,0.492980033159256,0.0,0.0,159.99420070648193
yolo11x,000000043737,4,2/255,0.25,0.45,odpv,0.0,0.0,0.0,97.10147047042847
yolo11x,000000043737,4,2/255,0.25,0.45,pgd,0.0,0.0,0.0,25.93466067314148
yolo11x,000000043737,4,2/255,0.25,0.45,rcp,0.5472493872306281,0.5472493872306281,0.0,836.6422102451324
yolo11x,000000043737,4,2/255,0.25,0.45,square_attack,0.47313088178634644,0.0,0.0,127.11908455689748
yolo11x,000000043737,5,1/255,0.25,0.45,odpv,0.0,0.0,0.0,97.23962008953094
yolo11x,000000043737,5,1/255,0.25,0.45,pgd,0.0,0.0,0.0,675.5867578983307
yolo11x,000000043737,5,1/255,0.25,0.45,rcp,0.8257616879729585,0.8257616879729585,0.8257616879729585,844.5437196493149
yolo11x,000000043737,5,1/255,0.25,0.45,square_attack,0.0,0.0,0.0,159.99420070648193
yolo11x,000000043737,5,2/255,0.25,0.45,odpv,0.0,0.0,0.0,97.10147047042847
yolo11x,000000043737,5,2/255,0.25,0.45,pgd,0.0,0.0,0.0,25.93466067314148
yolo11x,000000043737,5,2/255,0.25,0.45,rcp,0.800568650186237,0.800568650186237,0.800568650186237,836.6422102451324
yolo11x,000000043737,5,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,127.11908455689748
yolo11x,000000084492,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,83.66042631013053
yolo11x,000000084492,0,1/255,0.25,0.45,pgd,0.6568216681480408,0.6568216681480408,0.0,655.1153378486633
yolo11x,000000084492,0,1/255,0.25,0.45,rcp,0.9699025227953909,0.9699025227953909,0.9699025227953909,666.1886658668518
yolo11x,000000084492,0,1/255,0.25,0.45,square_attack,0.9559699296951294,0.9559699296951294,0.9559699296951294,124.04417262758527
yolo11x,000000084492,0,2/255,0.25,0.45,odpv,0.0,0.0,0.0,83.69483137130737
yolo11x,000000084492,0,2/255,0.25,0.45,pgd,0.0,0.0,0.0,122.18467450141907
yolo11x,000000084492,0,2/255,0.25,0.45,rcp,0.9697538891373922,0.9697538891373922,0.9697538891373922,650.1192161015102
yolo11x,000000084492,0,2/255,0.25,0.45,square_attack,0.9461517930030823,0.9461517930030823,0.9461517930030823,123.64830418995449
yolo11x,000000084492,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,83.66042631013053
yolo11x,000000084492,1,1/255,0.25,0.45,pgd,0.0,0.0,0.0,655.1153378486633
yolo11x,000000084492,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,666.1886658668518
yolo11x,000000084492,1,1/255,0.25,0.45,square_attack,0.0,0.0,0.0,124.04417262758527
yolo11x,000000084492,1,2/255,0.25,0.45,odpv,0.0,0.0,0.0,83.69483137130737
yolo11x,000000084492,1,2/255,0.25,0.45,pgd,0.0,0.0,0.0,122.18467450141907
yolo11x,000000084492,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,650.1192161015102
yolo11x,000000084492,1,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,123.64830418995449
yolo11x,000000084492,2,1/255,0.25,0.45,odpv,0.0,0.0,0.0,83.66042631013053
yolo11x,000000084492,2,1/255,0.25,0.45,pgd,0.583909809589386,0.583909809589386,0.0,655.1153378486633
yolo11x,000000084492,2,1/255,0.25,0.45,rcp,0.9671367307294919,0.9671367307294919,0.9671367307294919,666.1886658668518
yolo11x,000000084492,2,1/255,0.25,0.45,square_attack,0.9572810530662537,0.9572810530662537,0.9572810530662537,124.04417262758527
yolo11x,000000084492,2,2/255,0.25,0.45,odpv,0.0,0.0,0.0,83.69483137130737
yolo11x,000000084492,2,2/255,0.25,0.45,pgd,0.0,0.0,0.0,122.18467450141907
