model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7
yolo11x,7088,1,2/255,0.45,0.65,odpv,pgd,0.0,0.0,0.0,139.88633489608765,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.65,0.25,rcp,pgd,0.8562193058764207,0.8562193058764207,0.8562193058764207,1244.6557287573814,0.0,0.0,0.0,0.8562193058764207,0.8562193058764207,0.8562193058764207,False,False,True,True,False,False,False,False
yolo11x,7088,1,2/255,0.65,0.25,odpv,pgd,0.0,0.0,0.0,146.34607297182083,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.65,0.45,rcp,pgd,0.8563917353245842,0.8563917353245842,0.8563917353245842,1297.0044972896576,0.0,0.0,0.0,0.8563917353245842,0.8563917353245842,0.8563917353245842,False,False,True,True,False,False,False,False
yolo11x,7088,1,2/255,0.65,0.45,odpv,pgd,0.0,0.0,0.0,148.65371531248093,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.65,0.65,rcp,pgd,0.8558235716135737,0.8558235716135737,0.8558235716135737,1247.0056970715525,0.0,0.0,0.0,0.8558235716135737,0.8558235716135737,0.8558235716135737,False,False,True,True,False,False,False,False
yolo11x,7088,1,2/255,0.65,0.65,odpv,pgd,0.0,0.0,0.0,146.08382987976074,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.25,0.25,rcp,pgd,0.9433880838090234,0.9433880838090234,0.9433880838090234,1242.7420151233673,0.0,0.0,0.0,0.9433880838090234,0.9433880838090234,0.9433880838090234,False,False,True,True,False,False,False,False
yolo11x,7088,2,2/255,0.25,0.25,odpv,pgd,0.0,0.0,0.0,139.8126847743988,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.25,0.45,rcp,pgd,0.9433301936714344,0.9433301936714344,0.9433301936714344,1249.6561493873596,0.0,0.0,0.0,0.9433301936714344,0.9433301936714344,0.9433301936714344,False,False,True,True,False,False,False,False
yolo11x,7088,2,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,145.4531233906746,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.25,0.65,rcp,pgd,0.943398852557,0.943398852557,0.943398852557,1262.0368963479996,0.0,0.0,0.0,0.943398852557,0.943398852557,0.943398852557,False,False,True,True,False,False,False,False
yolo11x,7088,2,2/255,0.25,0.65,odpv,pgd,0.0,0.0,0.0,146.60869699716568,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.45,0.25,rcp,pgd,0.9433595792311136,0.9433595792311136,0.9433595792311136,1243.7306331396103,0.0,0.0,0.0,0.9433595792311136,0.9433595792311136,0.9433595792311136,False,False,True,True,False,False,False,False
yolo11x,7088,2,2/255,0.45,0.25,odpv,pgd,0.0,0.0,0.0,144.79895287752151,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.45,0.45,rcp,pgd,0.9434623194242054,0.9434623194242054,0.9434623194242054,1258.1386823654177,0.0,0.0,0.0,0.9434623194242054,0.9434623194242054,0.9434623194242054,False,False,True,True,False,False,False,False
yolo11x,7088,2,2/255,0.45,0.45,odpv,pgd,0.0,0.0,0.0,145.38380032777786,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.45,0.65,rcp,pgd,0.9434677201141856,0.9434677201141856,0.9434677201141856,1246.6062245368958,0.0,0.0,0.0,0.9434677201141856,0.9434677201141856,0.9434677201141856,False,False,True,True,False,False,False,False
yolo11x,7088,2,2/255,0.45,0.65,odpv,pgd,0.0,0.0,0.0,139.88633489608765,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.65,0.25,rcp,pgd,0.9434816503411478,0.9434816503411478,0.9434816503411478,1244.6557287573814,0.0,0.0,0.0,0.9434816503411478,0.9434816503411478,0.9434816503411478,False,False,True,True,False,False,False,False
yolo11x,7088,2,2/255,0.65,0.25,odpv,pgd,0.0,0.0,0.0,146.34607297182083,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.65,0.45,rcp,pgd,0.9434593922125228,0.9434593922125228,0.9434593922125228,1297.0044972896576,0.0,0.0,0.0,0.9434593922125228,0.9434593922125228,0.9434593922125228,False,False,True,True,False,False,False,False
yolo11x,7088,2,2/255,0.65,0.45,odpv,pgd,0.0,0.0,0.0,148.65371531248093,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,2,2/255,0.65,0.65,rcp,pgd,0.9432733360684532,0.9432733360684532,0.9432733360684532,1247.0056970715525,0.0,0.0,0.0,0.9432733360684532,0.9432733360684532,0.9432733360684532,False,False,True,True,False,False,False,False
yolo11x,7088,2,2/255,0.65,0.65,odpv,pgd,0.0,0.0,0.0,146.08382987976074,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.25,0.25,rcp,pgd,0.0,0.0,0.0,1242.7420151233673,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.25,0.25,odpv,pgd,0.0,0.0,0.0,139.8126847743988,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.25,0.45,rcp,pgd,0.0,0.0,0.0,1249.6561493873596,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,145.4531233906746,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.25,0.65,rcp,pgd,0.0,0.0,0.0,1262.0368963479996,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.25,0.65,odpv,pgd,0.0,0.0,0.0,146.60869699716568,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.45,0.25,rcp,pgd,0.0,0.0,0.0,1243.7306331396103,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.45,0.25,odpv,pgd,0.0,0.0,0.0,144.79895287752151,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.45,0.45,rcp,pgd,0.0,0.0,0.0,1258.1386823654177,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.45,0.45,odpv,pgd,0.0,0.0,0.0,145.38380032777786,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.45,0.65,rcp,pgd,0.0,0.0,0.0,1246.6062245368958,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.45,0.65,odpv,pgd,0.0,0.0,0.0,139.88633489608765,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.65,0.25,rcp,pgd,0.0,0.0,0.0,1244.6557287573814,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.65,0.25,odpv,pgd,0.0,0.0,0.0,146.34607297182083,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,3,2/255,0.65,0.45,rcp,pgd,0.0,0.0,0.0,1297.0044972896576,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
