model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time
yolo11x,000000033759,1,2/255,0.45,0.25,rcp,0.9752003573295247,0.9752003573295247,0.9752003573295247,671.0690221786499
yolo11x,000000033759,1,2/255,0.45,0.25,square_attack,0.9590701460838318,0.9590701460838318,0.9590701460838318,93.25871868133545
yolo11x,000000033759,2,1/255,0.45,0.25,odpv,0.882290780544281,0.882290780544281,0.882290780544281,53.17085027694702
yolo11x,000000033759,2,1/255,0.45,0.25,pgd,0.0,0.0,0.0,633.000720500946
yolo11x,000000033759,2,1/255,0.45,0.25,rcp,0.9395904762895991,0.9395904762895991,0.9395904762895991,672.4381217956543
yolo11x,000000033759,2,1/255,0.45,0.25,square_attack,0.9365196228027344,0.9365196228027344,0.9365196228027344,102.50165739059449
yolo11x,000000033759,2,2/255,0.45,0.25,odpv,0.8964201211929321,0.8964201211929321,0.8964201211929321,50.88970375061035
yolo11x,000000033759,2,2/255,0.45,0.25,pgd,0.0,0.0,0.0,104.153235912323
yolo11x,000000033759,2,2/255,0.45,0.25,rcp,0.9364235212314377,0.9364235212314377,0.9364235212314377,671.0690221786499
yolo11x,000000033759,2,2/255,0.45,0.25,square_attack,0.9300207495689392,0.9300207495689392,0.9300207495689392,93.25871868133545
yolo11x,000000033759,3,1/255,0.45,0.25,odpv,0.0,0.0,0.0,0.001264333724975586
yolo11x,000000033759,3,1/255,0.45,0.25,pgd,0.0,0.0,0.0,633.000720500946
yolo11x,000000033759,3,1/255,0.45,0.25,rcp,0.0,0.0,0.0,672.4381217956543
yolo11x,000000033759,3,1/255,0.45,0.25,square_attack,0.0,0.0,0.0,102.50165739059449
yolo11x,000000033759,3,2/255,0.45,0.25,odpv,0.0,0.0,0.0,0.0013136863708496094
yolo11x,000000033759,3,2/255,0.45,0.25,pgd,0.0,0.0,0.0,104.153235912323
yolo11x,000000033759,3,2/255,0.45,0.25,rcp,0.0,0.0,0.0,671.0690221786499
yolo11x,000000033759,3,2/255,0.45,0.25,square_attack,0.0,0.0,0.0,93.25871868133545
yolo11x,000000033759,4,1/255,0.45,0.25,odpv,0.0,0.0,0.0,0.0011234283447265625
yolo11x,000000033759,4,1/255,0.45,0.25,pgd,0.0,0.0,0.0,633.000720500946
yolo11x,000000033759,4,1/255,0.45,0.25,rcp,0.0,0.0,0.0,672.4381217956543
yolo11x,000000033759,4,1/255,0.45,0.25,square_attack,0.0,0.0,0.0,102.50165739059449
yolo11x,000000033759,4,2/255,0.45,0.25,odpv,0.0,0.0,0.0,0.0011966228485107422
yolo11x,000000033759,4,2/255,0.45,0.25,pgd,0.0,0.0,0.0,104.153235912323
yolo11x,000000033759,4,2/255,0.45,0.25,rcp,0.0,0.0,0.0,671.0690221786499
yolo11x,000000033759,4,2/255,0.45,0.25,square_attack,0.0,0.0,0.0,93.25871868133545
yolo11x,000000038048,0,1/255,0.45,0.25,odpv,0.9365253448486328,0.9365253448486328,0.9365253448486328,53.280309438705444
yolo11x,000000038048,0,1/255,0.45,0.25,pgd,0.0,0.0,0.0,48.12743592262268
yolo11x,000000038048,0,1/255,0.45,0.25,rcp,0.9506338617730876,0.9506338617730876,0.9506338617730876,558.3238681554794
yolo11x,000000038048,0,1/255,0.45,0.25,square_attack,0.9296957850456238,0.9296957850456238,0.9296957850456238,85.87304377555847
yolo11x,000000038048,0,2/255,0.45,0.25,odpv,0.9079590439796448,0.9079590439796448,0.9079590439796448,53.20510983467102
yolo11x,000000038048,0,2/255,0.45,0.25,pgd,0.0,0.0,0.0,6.759001016616821
yolo11x,000000038048,0,2/255,0.45,0.25,rcp,0.9476240133526944,0.9476240133526944,0.9476240133526944,559.0795586705208
yolo11x,000000038048,0,2/255,0.45,0.25,square_attack,0.8732174634933472,0.8732174634933472,0.8732174634933472,85.7422404885292
yolo11x,000000038048,1,1/255,0.45,0.25,odpv,0.0,0.0,0.0,0.0014259815216064453
yolo11x,000000038048,1,1/255,0.45,0.25,pgd,0.0,0.0,0.0,48.12743592262268
yolo11x,000000038048,1,1/255,0.45,0.25,rcp,0.0,0.0,0.0,558.3238681554794
yolo11x,000000038048,1,1/255,0.45,0.25,square_attack,0.0,0.0,0.0,85.87304377555847
yolo11x,000000038048,1,2/255,0.45,0.25,odpv,0.0,0.0,0.0,0.0018680095672607422
yolo11x,000000038048,1,2/255,0.45,0.25,pgd,0.0,0.0,0.0,6.759001016616821
yolo11x,000000038048,1,2/255,0.45,0.25,rcp,0.0,0.0,0.0,559.0795586705208
yolo11x,000000038048,1,2/255,0.45,0.25,square_attack,0.0,0.0,0.0,85.7422404885292
yolo11x,000000038048,2,1/255,0.45,0.25,odpv,0.6544365882873535,0.6544365882873535,0.0,53.16195583343506
yolo11x,000000038048,2,1/255,0.45,0.25,pgd,0.0,0.0,0.0,48.12743592262268
yolo11x,000000038048,2,1/255,0.45,0.25,rcp,0.7120272307868594,0.7120272307868594,0.7120272307868594,558.3238681554794
yolo11x,000000038048,2,1/255,0.45,0.25,square_attack,0.70323646068573,0.70323646068573,0.70323646068573,85.87304377555847
yolo11x,000000038048,2,2/255,0.45,0.25,odpv,0.5577894449234009,0.5577894449234009,0.0,53.167213916778564
yolo11x,000000038048,2,2/255,0.45,0.25,pgd,0.0,0.0,0.0,6.759001016616821
yolo11x,000000038048,2,2/255,0.45,0.25,rcp,0.7002935228539696,0.7002935228539696,0.7002935228539696,559.0795586705208
yolo11x,000000038048,2,2/255,0.45,0.25,square_attack,0.6789572834968567,0.6789572834968567,0.0,85.7422404885292
yolo11x,000000038048,3,1/255,0.45,0.25,odpv,0.0,0.0,0.0,0.001455545425415039
yolo11x,000000038048,3,1/255,0.45,0.25,pgd,0.0,0.0,0.0,48.12743592262268
yolo11x,000000038048,3,1/255,0.45,0.25,rcp,0.0,0.0,0.0,558.3238681554794
yolo11x,000000038048,3,1/255,0.45,0.25,square_attack,0.0,0.0,0.0,85.87304377555847
yolo11x,000000038048,3,2/255,0.45,0.25,odpv,0.0,0.0,0.0,0.0018723011016845703
yolo11x,000000038048,3,2/255,0.45,0.25,pgd,0.0,0.0,0.0,6.759001016616821
yolo11x,000000038048,3,2/255,0.45,0.25,rcp,0.0,0.0,0.0,559.0795586705208
yolo11x,000000038048,3,2/255,0.45,0.25,square_attack,0.0,0.0,0.0,85.7422404885292
yolo11x,000000084492,0,1/255,0.45,0.25,odpv,0.9532222151756287,0.9532222151756287,0.9532222151756287,51.64824914932251
yolo11x,000000084492,0,1/255,0.45,0.25,pgd,0.0,0.0,0.0,616.1273555755615
yolo11x,000000084492,0,1/255,0.45,0.25,rcp,0.9702635341562379,0.9702635341562379,0.9702635341562379,447.5844217027937
