model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7
yolo11x,7088,0,2/255,0.65,0.25,rcp,rcp,0.0,0.0,0.0,845.9199903607368,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.25,odpv,pgd,0.0,0.0,0.0,0.0012764930725097,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.25,odpv,square_attack,0.0,0.0,0.0,0.0012764930725097,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.8828462362289429,False,False,False,False,True,True,False,False
yolo11x,7088,0,2/255,0.65,0.25,odpv,rcp,0.0,0.0,0.0,0.0012764930725097,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.45,rcp,pgd,0.0,0.0,0.0,858.7762760519981,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.45,rcp,square_attack,0.0,0.0,0.0,858.7762760519981,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.8828462362289429,False,False,False,False,True,True,False,False
yolo11x,7088,0,2/255,0.65,0.45,rcp,rcp,0.0,0.0,0.0,858.7762760519981,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.45,odpv,pgd,0.0,0.0,0.0,0.0011718273162841,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.45,odpv,square_attack,0.0,0.0,0.0,0.0011718273162841,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.8828462362289429,False,False,False,False,True,True,False,False
yolo11x,7088,0,2/255,0.65,0.45,odpv,rcp,0.0,0.0,0.0,0.0011718273162841,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
