model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time,noise_type,cmi_max_iou,fa_min_iou
yolo11x,000000007088,2,1/255,0.25,0.45,rcp,0.943770273183366,0.943770273183366,0.943770273183366,1265.68630194664,laplace,0.13981273840996256,0.6902036721716328
yolo11x,000000007088,2,1/255,0.25,0.45,rcp,0.944221546575424,0.944221546575424,0.944221546575424,1259.6985033154488,normal,0.13961882966873787,0.8581122691181448
yolo11x,000000007088,2,1/255,0.25,0.45,rcp,0.9431375602865553,0.9431375602865553,0.9431375602865553,1717.5893483757973,poisson,0.13992501589896625,0.6995980636743477
yolo11x,000000007088,2,1/255,0.25,0.45,rcp,0.9431740227423877,0.9431740227423877,0.9431740227423877,2443.5245388150215,poisson_gaussian,0.13985320115275443,0.6859581183412337
yolo11x,000000007088,2,1/255,0.25,0.45,rcp,0.9446823010342683,0.9446823010342683,0.9446823010342683,1208.3016630411148,salt_and_pepper,0.13954570368972244,0.8586745178961025
yolo11x,000000007088,2,1/255,0.25,0.45,rcp,0.9443718652900963,0.9443718652900963,0.9443718652900963,864.3024885058403,uniform,0.13957742310289753,0.7030140878648384
yolo11x,000000007088,2,2/255,0.25,0.45,rcp,0.9432549444781237,0.9432549444781237,0.9432549444781237,1273.7618148326874,laplace,0.14034831629094582,0.6720195648191056
yolo11x,000000007088,2,2/255,0.25,0.45,rcp,0.9442084836671498,0.9442084836671498,0.9442084836671498,1251.3537151813507,normal,0.13968876103087358,0.6886567116507161
yolo11x,000000007088,2,2/255,0.25,0.45,rcp,0.9435112648813552,0.9435112648813552,0.9435112648813552,1912.1463589668274,poisson,0.13998998108082608,0.6911874393221016
yolo11x,000000007088,2,2/255,0.25,0.45,rcp,0.943252025599013,0.943252025599013,0.943252025599013,2584.589457809925,poisson_gaussian,0.14016216391815534,0.6869500445768225
yolo11x,000000007088,2,2/255,0.25,0.45,rcp,0.9441719235873363,0.9441719235873363,0.9441719235873363,1201.7760708928108,salt_and_pepper,0.1396676585037685,0.6976682454056418
yolo11x,000000007088,2,2/255,0.25,0.45,rcp,0.9439983089727562,0.9439983089727562,0.9439983089727562,861.4613180160522,uniform,0.1400644816900725,0.6839227975153893
yolo11x,000000007088,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,327.4163619875908,laplace,0.8807706832885742,0.49369239807128906
yolo11x,000000007088,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,149.80647081136703,normal,9.5367431640625e-07,0.5343828201293945
yolo11x,000000007088,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,608.651228249073,poisson,1.0,0.0
yolo11x,000000007088,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,436.3941449522972,poisson_gaussian,1.0,0.0
yolo11x,000000007088,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,156.5242314338684,salt_and_pepper,9.5367431640625e-07,0.5343828201293945
yolo11x,000000007088,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,157.16383463144302,uniform,9.5367431640625e-07,0.5343828201293945
yolo11x,000000007088,3,1/255,0.25,0.45,rcp,0.0,0.0,0.0,1265.68630194664,laplace,0.13981273840996256,0.6902036721716328
yolo11x,000000007088,3,1/255,0.25,0.45,rcp,0.0,0.0,0.0,1259.6985033154488,normal,0.13961882966873787,0.8581122691181448
yolo11x,000000007088,3,1/255,0.25,0.45,rcp,0.0,0.0,0.0,1717.5893483757973,poisson,0.13992501589896625,0.6995980636743477
yolo11x,000000007088,3,1/255,0.25,0.45,rcp,0.0,0.0,0.0,2443.5245388150215,poisson_gaussian,0.13985320115275443,0.6859581183412337
yolo11x,000000007088,3,1/255,0.25,0.45,rcp,0.0,0.0,0.0,1208.3016630411148,salt_and_pepper,0.13954570368972244,0.8586745178961025
yolo11x,000000007088,3,1/255,0.25,0.45,rcp,0.0,0.0,0.0,864.3024885058403,uniform,0.13957742310289753,0.7030140878648384
yolo11x,000000007088,3,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1273.7618148326874,laplace,0.14034831629094582,0.6720195648191056
yolo11x,000000007088,3,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1251.3537151813507,normal,0.13968876103087358,0.6886567116507161
yolo11x,000000007088,3,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1912.1463589668274,poisson,0.13998998108082608,0.6911874393221016
yolo11x,000000007088,3,2/255,0.25,0.45,rcp,0.0,0.0,0.0,2584.589457809925,poisson_gaussian,0.14016216391815534,0.6869500445768225
yolo11x,000000007088,3,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1201.7760708928108,salt_and_pepper,0.1396676585037685,0.6976682454056418
yolo11x,000000007088,3,2/255,0.25,0.45,rcp,0.0,0.0,0.0,861.4613180160522,uniform,0.1400644816900725,0.6839227975153893
yolo11x,000000014380,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,622.1747541427612,laplace,0.9429998397827148,0.6624288558959961
yolo11x,000000014380,0,1/255,0.25,0.45,odpv,0.7274898290634155,0.7274898290634155,0.7274898290634155,298.38337206840515,normal,9.5367431640625e-07,0.6656370162963867
yolo11x,000000014380,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,1396.8834151029587,poisson,1.0,0.0
yolo11x,000000014380,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,1612.0561097860336,poisson_gaussian,1.0,0.0
yolo11x,000000014380,0,1/255,0.25,0.45,odpv,0.7274889945983887,0.7274889945983887,0.7274889945983887,300.3402599096298,salt_and_pepper,9.5367431640625e-07,0.6656370162963867
yolo11x,000000014380,0,1/255,0.25,0.45,odpv,0.6700702905654907,0.6700702905654907,0.0,299.0787148475647,uniform,9.5367431640625e-07,0.6656370162963867
yolo11x,000000014380,0,1/255,0.25,0.45,rcp,0.8530125297061503,0.8530125297061503,0.8530125297061503,2349.3213711977005,laplace,0.0,0.8530125297061503
yolo11x,000000014380,0,1/255,0.25,0.45,rcp,0.8588914876977622,0.8588914876977622,0.8588914876977622,2219.4175004959106,normal,0.0,0.8588914876977622
yolo11x,000000014380,0,1/255,0.25,0.45,rcp,0.8543721476722682,0.8543721476722682,0.8543721476722682,3101.6040493249893,poisson,0.0,0.8543721476722682
yolo11x,000000014380,0,1/255,0.25,0.45,rcp,0.8538885160730517,0.8538885160730517,0.8538885160730517,4456.319983124733,poisson_gaussian,0.0,0.8538885160730517
yolo11x,000000014380,0,1/255,0.25,0.45,rcp,0.8607909223603696,0.8607909223603696,0.8607909223603696,2213.719069480896,salt_and_pepper,0.0,0.8607909223603696
yolo11x,000000014380,0,1/255,0.25,0.45,rcp,0.8585902178128244,0.8585902178128244,0.8585902178128244,1602.9940631389618,uniform,0.0,0.8585902178128244
yolo11x,000000014380,0,2/255,0.25,0.45,rcp,0.8471422056579091,0.8471422056579091,0.8471422056579091,2356.594597220421,laplace,0.0,0.8471422056579091
yolo11x,000000014380,0,2/255,0.25,0.45,rcp,0.8548744722838394,0.8548744722838394,0.8548744722838394,2239.8843982219696,normal,0.0,0.8548744722838394
yolo11x,000000014380,0,2/255,0.25,0.45,rcp,0.8492056478877286,0.8492056478877286,0.8492056478877286,3554.371094226837,poisson,0.0,0.8492056478877286
yolo11x,000000014380,0,2/255,0.25,0.45,rcp,0.8499444294588738,0.8499444294588738,0.8499444294588738,4858.319064617157,poisson_gaussian,0.0,0.8499444294588738
yolo11x,000000014380,0,2/255,0.25,0.45,rcp,0.8575739408989271,0.8575739408989271,0.8575739408989271,2218.4563957452774,salt_and_pepper,0.0,0.8575739408989271
yolo11x,000000014380,0,2/255,0.25,0.45,rcp,0.8524024803588667,0.8524024803588667,0.8524024803588667,1600.0002690553665,uniform,0.0,0.8524024803588667
yolo11x,000000014380,1,1/255,0.25,0.45,odpv,0.9181013107299805,0.9181013107299805,0.9181013107299805,622.1747541427612,laplace,0.998570442199707,0.6624288558959961
yolo11x,000000014380,1,1/255,0.25,0.45,odpv,0.932593047618866,0.932593047618866,0.932593047618866,298.38337206840515,normal,9.5367431640625e-07,0.6656370162963867
yolo11x,000000014380,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,1396.8834151029587,poisson,1.0,0.0
yolo11x,000000014380,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,1612.0561097860336,poisson_gaussian,1.0,0.0
yolo11x,000000014380,1,1/255,0.25,0.45,odpv,0.9325911998748779,0.9325911998748779,0.9325911998748779,300.3402599096298,salt_and_pepper,0.9872121810913086,0.6656370162963867
yolo11x,000000014380,1,1/255,0.25,0.45,odpv,0.9325752258300781,0.9325752258300781,0.9325752258300781,299.0787148475647,uniform,0.9872150421142578,0.6656370162963867
yolo11x,000000014380,1,1/255,0.25,0.45,rcp,0.9646603976375147,0.9646603976375147,0.9646603976375147,2349.3213711977005,laplace,0.0,0.8530125297061503
yolo11x,000000014380,1,1/255,0.25,0.45,rcp,0.9657145114301552,0.9657145114301552,0.9657145114301552,2219.4175004959106,normal,0.0,0.8588914876977622
yolo11x,000000014380,1,1/255,0.25,0.45,rcp,0.9645914484200734,0.9645914484200734,0.9645914484200734,3101.6040493249893,poisson,0.0,0.8543721476722682
yolo11x,000000014380,1,1/255,0.25,0.45,rcp,0.9634373562015628,0.9634373562015628,0.9634373562015628,4456.319983124733,poisson_gaussian,0.0,0.8538885160730517
yolo11x,000000014380,1,1/255,0.25,0.45,rcp,0.967083529124067,0.967083529124067,0.967083529124067,2213.719069480896,salt_and_pepper,0.0,0.8607909223603696
yolo11x,000000014380,1,1/255,0.25,0.45,rcp,0.965804980229904,0.965804980229904,0.965804980229904,1602.9940631389618,uniform,0.0,0.8585902178128244
yolo11x,000000014380,1,2/255,0.25,0.45,rcp,0.9629157586244336,0.9629157586244336,0.9629157586244336,2356.594597220421,laplace,0.0,0.8471422056579091
yolo11x,000000014380,1,2/255,0.25,0.45,rcp,0.9652207882041322,0.9652207882041322,0.9652207882041322,2239.8843982219696,normal,0.0,0.8548744722838394
yolo11x,000000014380,1,2/255,0.25,0.45,rcp,0.9627707700335174,0.9627707700335174,0.9627707700335174,3554.371094226837,poisson,0.0,0.8492056478877286
yolo11x,000000014380,1,2/255,0.25,0.45,rcp,0.9632297792751536,0.9632297792751536,0.9632297792751536,4858.319064617157,poisson_gaussian,0.0,0.8499444294588738
yolo11x,000000014380,1,2/255,0.25,0.45,rcp,0.9658365811836453,0.9658365811836453,0.9658365811836453,2218.4563957452774,salt_and_pepper,0.0,0.8575739408989271
yolo11x,000000014380,1,2/255,0.25,0.45,rcp,0.9636720313544341,0.9636720313544341,0.9636720313544341,1600.0002690553665,uniform,0.0,0.8524024803588667
yolo11x,000000065485,0,1/255,0.25,0.45,odpv,0.9440050721168518,0.9440050721168518,0.9440050721168518,598.8731832504272,laplace,0.03372001647949219,0.9401130676269531
yolo11x,000000065485,0,1/255,0.25,0.45,odpv,0.9663512110710144,0.9663512110710144,0.9663512110710144,300.6890208721161,normal,0.033431053161621094,0.9655256271362305
yolo11x,000000065485,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,365.35860443115234,poisson,1.0,0.0
yolo11x,000000065485,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,474.5240902900696,poisson_gaussian,1.0,0.0
yolo11x,000000065485,0,1/255,0.25,0.45,odpv,0.9663527011871338,0.9663527011871338,0.9663527011871338,285.6030650138855,salt_and_pepper,0.03348350524902344,0.9655256271362305
yolo11x,000000065485,0,1/255,0.25,0.45,odpv,0.9663488268852234,0.9663488268852234,0.9663488268852234,300.1982387304306,uniform,0.03353691101074219,0.9655256271362305
yolo11x,000000065485,0,1/255,0.25,0.45,rcp,0.9888134889915821,0.9888134889915821,0.9888134889915821,1939.6840173006058,laplace,0.9797102844898209,0.9774065780246056
yolo11x,000000065485,0,1/255,0.25,0.45,rcp,0.9900423365052881,0.9900423365052881,0.9900423365052881,2008.2098735570908,normal,0.9793165272760092,0.9783098080797246
yolo11x,000000065485,0,1/255,0.25,0.45,rcp,0.9886142718196833,0.9886142718196833,0.9886142718196833,2562.8862323760986,poisson,0.9795020551290543,0.9775364780050639
yolo11x,000000065485,0,1/255,0.25,0.45,rcp,0.988341717731882,0.988341717731882,0.988341717731882,3802.8679815530777,poisson_gaussian,0.9796694541388907,0.9771595724996573
yolo11x,000000065485,0,1/255,0.25,0.45,rcp,0.9905717850749134,0.9905717850749134,0.9905717850749134,1906.168938279152,salt_and_pepper,0.979096370762844,0.9784834642056679
yolo11x,000000065485,0,1/255,0.25,0.45,rcp,0.9902153230610007,0.9902153230610007,0.9902153230610007,1325.0820969343185,uniform,0.9793937226047543,0.9781961650957222
yolo11x,000000065485,0,2/255,0.25,0.45,rcp,0.9867752230630619,0.9867752230630619,0.9867752230630619,1930.7239162921906,laplace,0.9800221341105291,0.9763702583271782
yolo11x,000000065485,0,2/255,0.25,0.45,rcp,0.9900528642712992,0.9900528642712992,0.9900528642712992,1949.7168456315994,normal,0.9793170573313452,0.9780607855645888
yolo11x,000000065485,0,2/255,0.25,0.45,rcp,0.9874289095849136,0.9874289095849136,0.9874289095849136,2900.8369666337967,poisson,0.9797998831681731,0.9770101326300874
yolo11x,000000065485,0,2/255,0.25,0.45,rcp,0.9878793229436298,0.9878793229436298,0.9878793229436298,4150.957015275955,poisson_gaussian,0.9800954601510676,0.9766581248862984
yolo11x,000000065485,0,2/255,0.25,0.45,rcp,0.9898242142372874,0.9898242142372874,0.9898242142372874,1898.8460911512375,salt_and_pepper,0.9793658561261184,0.9780737830733789
yolo11x,000000065485,0,2/255,0.25,0.45,rcp,0.9890023871947987,0.9890023871947987,0.9890023871947987,1333.4368381500244,uniform,0.9796279093899781,0.9774828476717045
yolo11x,000000065485,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,598.8731832504272,laplace,0.9868869781494141,0.9401130676269531
yolo11x,000000065485,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,300.6890208721161,normal,0.9868679046630859,0.9655256271362305
yolo11x,000000065485,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,365.35860443115234,poisson,1.0,0.0
yolo11x,000000065485,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,474.5240902900696,poisson_gaussian,1.0,0.0
yolo11x,000000065485,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,285.6030650138855,salt_and_pepper,0.9868679046630859,0.9655256271362305
yolo11x,000000065485,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,300.1982387304306,uniform,0.9868679046630859,0.9655256271362305
yolo11x,000000065485,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,1939.6840173006058,laplace,0.9797102844898209,0.9774065780246056
yolo11x,000000065485,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,2008.2098735570908,normal,0.9793165272760092,0.9783098080797246
yolo11x,000000065485,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,2562.8862323760986,poisson,0.9795020551290543,0.9775364780050639
yolo11x,000000065485,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,3802.8679815530777,poisson_gaussian,0.9796694541388907,0.9771595724996573
yolo11x,000000065485,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,1906.168938279152,salt_and_pepper,0.979096370762844,0.9784834642056679
yolo11x,000000065485,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,1325.0820969343185,uniform,0.9793937226047543,0.9781961650957222
yolo11x,000000065485,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1930.7239162921906,laplace,0.9800221341105291,0.9763702583271782
yolo11x,000000065485,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1949.7168456315994,normal,0.9793170573313452,0.9780607855645888
