model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time
yolo11x,000000007088,1,1/255,0.45,0.25,rcp,0.8573599331244378,0.8573599331244378,0.8573599331244378,1271.3845571875572
yolo11x,000000007088,1,1/255,0.45,0.25,square_attack,0.8455198407173157,0.8455198407173157,0.8455198407173157,117.07857513427734
yolo11x,000000007088,1,1/255,0.45,0.45,odpv,0.0,0.0,0.0,145.84854811429977
yolo11x,000000007088,1,1/255,0.45,0.45,pgd,0.0,0.0,0.0,659.2002127170563
yolo11x,000000007088,1,1/255,0.45,0.45,rcp,0.8572617032785632,0.8572617032785632,0.8572617032785632,1269.7048522233963
yolo11x,000000007088,1,1/255,0.45,0.45,square_attack,0.8455198407173157,0.8455198407173157,0.8455198407173157,128.9052682518959
yolo11x,000000007088,1,1/255,0.45,0.65,odpv,0.0,0.0,0.0,146.79886877536774
yolo11x,000000007088,1,1/255,0.45,0.65,pgd,0.0,0.0,0.0,701.7474789619446
yolo11x,000000007088,1,1/255,0.45,0.65,rcp,0.8567976621572201,0.8567976621572201,0.8567976621572201,1232.1655073165894
yolo11x,000000007088,1,1/255,0.45,0.65,square_attack,0.8455198407173157,0.8455198407173157,0.8455198407173157,129.02629005908966
yolo11x,000000007088,1,1/255,0.65,0.25,odpv,0.0,0.0,0.0,212.35178714990616
yolo11x,000000007088,1,1/255,0.65,0.25,pgd,0.0,0.0,0.0,65.51691246032715
yolo11x,000000007088,1,1/255,0.65,0.25,rcp,0.8571654407851114,0.8571654407851114,0.8571654407851114,1222.7531120181084
yolo11x,000000007088,1,1/255,0.65,0.25,square_attack,0.8455198407173157,0.8455198407173157,0.8455198407173157,80.24157929420471
yolo11x,000000007088,1,1/255,0.65,0.45,odpv,0.0,0.0,0.0,145.735744535923
yolo11x,000000007088,1,1/255,0.65,0.45,pgd,0.0,0.0,0.0,314.674601316452
yolo11x,000000007088,1,1/255,0.65,0.45,rcp,0.8572706232786494,0.8572706232786494,0.8572706232786494,1267.925150692463
yolo11x,000000007088,1,1/255,0.65,0.45,square_attack,0.8455198407173157,0.8455198407173157,0.8455198407173157,86.52206414937973
yolo11x,000000007088,1,1/255,0.65,0.65,odpv,0.0,0.0,0.0,146.23575699329376
yolo11x,000000007088,1,1/255,0.65,0.65,pgd,0.0,0.0,0.0,149.53962087631226
yolo11x,000000007088,1,1/255,0.65,0.65,rcp,0.8572879114434248,0.8572879114434248,0.8572879114434248,1254.2309619784355
yolo11x,000000007088,1,1/255,0.65,0.65,square_attack,0.8455198407173157,0.8455198407173157,0.8455198407173157,81.60534137487411
yolo11x,000000007088,2,1/255,0.25,0.25,odpv,0.0,0.0,0.0,299.30053794384
yolo11x,000000007088,2,1/255,0.25,0.25,pgd,0.4634401798248291,0.0,0.0,1198.225456237793
yolo11x,000000007088,2,1/255,0.25,0.25,rcp,0.9438839786111648,0.9438839786111648,0.9438839786111648,1233.3229507803917
yolo11x,000000007088,2,1/255,0.25,0.25,square_attack,0.9336803555488586,0.9336803555488586,0.9336803555488586,325.15568590164185
yolo11x,000000007088,2,1/255,0.25,0.45,odpv,0.0,0.0,0.0,235.93153578042984
yolo11x,000000007088,2,1/255,0.25,0.45,pgd,0.3889876902103424,0.0,0.0,967.1980650424957
yolo11x,000000007088,2,1/255,0.25,0.45,rcp,0.9438040403366682,0.9438040403366682,0.9438040403366682,1256.9216209053993
yolo11x,000000007088,2,1/255,0.25,0.45,square_attack,0.9336803555488586,0.9336803555488586,0.9336803555488586,129.56247383356094
yolo11x,000000007088,2,1/255,0.25,0.65,odpv,0.0,0.0,0.0,147.5754747390747
yolo11x,000000007088,2,1/255,0.25,0.65,pgd,0.500076174736023,0.500076174736023,0.0,679.9054546356201
yolo11x,000000007088,2,1/255,0.25,0.65,rcp,0.9438187673096591,0.9438187673096591,0.9438187673096591,1257.3437525629997
yolo11x,000000007088,2,1/255,0.25,0.65,square_attack,0.9336803555488586,0.9336803555488586,0.9336803555488586,118.09192901849747
yolo11x,000000007088,2,1/255,0.45,0.25,odpv,0.0,0.0,0.0,208.20573216676712
yolo11x,000000007088,2,1/255,0.45,0.25,pgd,0.0,0.0,0.0,882.3976123332977
yolo11x,000000007088,2,1/255,0.45,0.25,rcp,0.9438829054924939,0.9438829054924939,0.9438829054924939,1271.3845571875572
yolo11x,000000007088,2,1/255,0.45,0.25,square_attack,0.9336803555488586,0.9336803555488586,0.9336803555488586,117.07857513427734
yolo11x,000000007088,2,1/255,0.45,0.45,odpv,0.0,0.0,0.0,145.84854811429977
yolo11x,000000007088,2,1/255,0.45,0.45,pgd,0.0,0.0,0.0,659.2002127170563
yolo11x,000000007088,2,1/255,0.45,0.45,rcp,0.9438620035724878,0.9438620035724878,0.9438620035724878,1269.7048522233963
yolo11x,000000007088,2,1/255,0.45,0.45,square_attack,0.9336803555488586,0.9336803555488586,0.9336803555488586,128.9052682518959
yolo11x,000000007088,2,1/255,0.45,0.65,odpv,0.0,0.0,0.0,146.79886877536774
yolo11x,000000007088,2,1/255,0.45,0.65,pgd,0.0074975620955228806,0.0,0.0,701.7474789619446
yolo11x,000000007088,2,1/255,0.45,0.65,rcp,0.9438394597851224,0.9438394597851224,0.9438394597851224,1232.1655073165894
yolo11x,000000007088,2,1/255,0.45,0.65,square_attack,0.9336803555488586,0.9336803555488586,0.9336803555488586,129.02629005908966
yolo11x,000000007088,2,1/255,0.65,0.25,odpv,0.0,0.0,0.0,212.35178714990616
yolo11x,000000007088,2,1/255,0.65,0.25,pgd,0.0,0.0,0.0,65.51691246032715
yolo11x,000000007088,2,1/255,0.65,0.25,rcp,0.9439392477048042,0.9439392477048042,0.9439392477048042,1222.7531120181084
yolo11x,000000007088,2,1/255,0.65,0.25,square_attack,0.9336803555488586,0.9336803555488586,0.9336803555488586,80.24157929420471
yolo11x,000000007088,2,1/255,0.65,0.45,odpv,0.0,0.0,0.0,145.735744535923
yolo11x,000000007088,2,1/255,0.65,0.45,pgd,0.0,0.0,0.0,314.674601316452
yolo11x,000000007088,2,1/255,0.65,0.45,rcp,0.9439140198171966,0.9439140198171966,0.9439140198171966,1267.925150692463
yolo11x,000000007088,2,1/255,0.65,0.45,square_attack,0.9336803555488586,0.9336803555488586,0.9336803555488586,86.52206414937973
yolo11x,000000007088,2,1/255,0.65,0.65,odpv,0.0,0.0,0.0,146.23575699329376
yolo11x,000000007088,2,1/255,0.65,0.65,pgd,0.0,0.0,0.0,149.53962087631226
yolo11x,000000007088,2,1/255,0.65,0.65,rcp,0.9438207141835033,0.9438207141835033,0.9438207141835033,1254.2309619784355
yolo11x,000000007088,2,1/255,0.65,0.65,square_attack,0.9336803555488586,0.9336803555488586,0.9336803555488586,81.60534137487411
yolo11x,000000007088,3,1/255,0.25,0.25,odpv,0.0,0.0,0.0,299.30053794384
yolo11x,000000007088,3,1/255,0.25,0.25,pgd,0.0,0.0,0.0,1198.225456237793
yolo11x,000000007088,3,1/255,0.25,0.25,rcp,0.0,0.0,0.0,1233.3229507803917
yolo11x,000000007088,3,1/255,0.25,0.25,square_attack,0.0,0.0,0.0,325.15568590164185
yolo11x,000000007088,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,235.93153578042984
yolo11x,000000007088,3,1/255,0.25,0.45,pgd,0.0,0.0,0.0,967.1980650424957
yolo11x,000000007088,3,1/255,0.25,0.45,rcp,0.0,0.0,0.0,1256.9216209053993
yolo11x,000000007088,3,1/255,0.25,0.45,square_attack,0.0,0.0,0.0,129.56247383356094
yolo11x,000000007088,3,1/255,0.25,0.65,odpv,0.0,0.0,0.0,147.5754747390747
