model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7
yolo11x,7088,0,1/255,0.25,0.65,odpv,rcp,0.0,0.0,0.0,147.5754747390747,0.8988985754257204,0.8988985754257204,0.8988985754257204,0.8988985754257204,0.8988985754257204,0.8988985754257204,False,False,False,False,True,True,False,False
yolo11x,7088,0,1/255,0.45,0.25,rcp,pgd,0.8987805222127255,0.8987805222127255,0.8987805222127255,1271.3845571875572,0.0,0.0,0.0,0.8987805222127255,0.8987805222127255,0.8987805222127255,False,False,True,True,False,False,False,False
yolo11x,7088,0,1/255,0.45,0.25,rcp,square_attack,0.8987805222127255,0.8987805222127255,0.8987805222127255,1271.3845571875572,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.00727969156239594,0.00727969156239594,0.00727969156239594,True,True,False,False,False,False,False,False
yolo11x,7088,0,1/255,0.45,0.25,rcp,rcp,0.8987805222127255,0.8987805222127255,0.8987805222127255,1271.3845571875572,0.8987805222127255,0.8987805222127255,0.8987805222127255,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,0,1/255,0.45,0.25,odpv,pgd,0.0,0.0,0.0,208.20573216676712,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.45,0.25,odpv,square_attack,0.0,0.0,0.0,208.20573216676712,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,False,False,False,False,True,True,False,False
yolo11x,7088,0,1/255,0.45,0.25,odpv,rcp,0.0,0.0,0.0,208.20573216676712,0.8987805222127255,0.8987805222127255,0.8987805222127255,0.8987805222127255,0.8987805222127255,0.8987805222127255,False,False,False,False,True,True,False,False
yolo11x,7088,0,1/255,0.45,0.45,rcp,pgd,0.8985900489677097,0.8985900489677097,0.8985900489677097,1269.7048522233963,0.0,0.0,0.0,0.8985900489677097,0.8985900489677097,0.8985900489677097,False,False,True,True,False,False,False,False
yolo11x,7088,0,1/255,0.45,0.45,rcp,square_attack,0.8985900489677097,0.8985900489677097,0.8985900489677097,1269.7048522233963,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.007089218317380075,0.007089218317380075,0.007089218317380075,True,True,False,False,False,False,False,False
yolo11x,7088,0,1/255,0.45,0.45,rcp,rcp,0.8985900489677097,0.8985900489677097,0.8985900489677097,1269.7048522233963,0.8985900489677097,0.8985900489677097,0.8985900489677097,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,0,1/255,0.45,0.45,odpv,pgd,0.0,0.0,0.0,145.84854811429977,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
